DATA	k	p	q	error_length	FP	FN	TP	TN	FPR	Recall
aca	k17_Linf	0.1	0.5	8	30	192	512	180153	0.0553505432933	0.727272623967
aca	k17_Linf	0.1	0.5	32	37	639	2177	178034	0.0167118330302	0.77308235891
aca	k17_Linf	0.25	0.1	4	36	132	220	180499	0.140624945068	0.624999822443
aca	k17_Linf	0.25	0.1	8	30	192	512	180153	0.0553505432933	0.727272623967
aca	k17_Linf	0.25	0.1	32	22	1825	991	178049	0.0217176681424	0.351917601139
aca	k17_Linf	0.25	0.25	4	36	132	220	180499	0.140624945068	0.624999822443
aca	k17_Linf	0.25	0.25	8	30	192	512	180153	0.0553505432933	0.727272623967
aca	k17_Linf	0.25	0.25	32	37	640	2176	178034	0.0167193846941	0.772727245287
aca	k17_Linf	0.25	0.5	4	36	132	220	180499	0.140624945068	0.624999822443
aca	k17_Linf	0.25	0.5	8	30	192	512	180153	0.0553505432933	0.727272623967
aca	k17_Linf	0.25	0.5	32	37	639	2177	178034	0.0167118330302	0.77308235891
aca	k17_Linf	0.5	0.1	4	36	132	220	180499	0.140624945068	0.624999822443
aca	k17_Linf	0.5	0.1	8	30	192	512	180153	0.0553505432933	0.727272623967
aca	k17_Linf	0.5	0.1	32	22	1825	991	178049	0.0217176681424	0.351917601139
aca	k17_Linf	0.5	0.25	4	36	132	220	180499	0.140624945068	0.624999822443
aca	k17_Linf	0.5	0.25	8	30	192	512	180153	0.0553505432933	0.727272623967
aca	k17_Linf	0.5	0.25	32	37	640	2176	178034	0.0167193846941	0.772727245287
aca	k17_Linf	0.5	0.5	4	36	132	220	180499	0.140624945068	0.624999822443
aca	k17_Linf	0.5	0.5	8	30	192	512	180153	0.0553505432933	0.727272623967
aca	k17_Linf	0.5	0.5	32	37	639	2177	178034	0.0167118330302	0.77308235891
NT3	k5_L30	0.1	0.1	4	47	70	326	119140	0.126005328149	0.823232115345
NT3	k5_L30	0.1	0.1	8	58	42	750	118733	0.0717821693339	0.946969577403
NT3	k5_L30	0.1	0.1	32	57	1047	2121	116358	0.0261707976965	0.669507554624
NT3	k5_L30	0.1	0.25	4	47	70	326	119140	0.126005328149	0.823232115345
NT3	k5_L30	0.1	0.25	8	58	42	750	118733	0.0717821693339	0.946969577403
NT3	k5_L30	0.1	0.25	32	57	981	2187	116358	0.0254010683868	0.6903408873
NT3	k5_L30	0.1	0.5	4	47	70	326	119140	0.126005328149	0.823232115345
NT3	k5_L30	0.1	0.5	8	58	42	750	118733	0.0717821693339	0.946969577403
