	Alligator	Gavialis	Acanthisitta	Bombycilla	Regulus	Fringilla	Passer	Ploceus	Vidua	Sylvia	Turdus	Picathartes	Corvus	Malurus	Climacteris	Menura	Dendrocolaptes	Scytalopus	Grallaria	Thamnophilus	Mionectes	Tyrannus	Pipra	Pitta	Smithornis	Sapayoa	Alisterus	Psittacula	Micropsitta	Chalcopsitta	Platycercus	Psittacus	Cacatua	Daptrius	Falco	Herpetotheres	Micrastur	Cariama	Alcedo	Momotus	Todus	Brachypteracias	Coracias	Merops	Bucco	Galbula	Capito	Megalaima	Dryocopus	Indicator	Bucorvus	Tockus	Phoeniculus	Upupa	Pharomachrus	Trogon	Leptosomus	Colius	Urocolius	Phodilus	Tyto	Speotyto	Strix	Buteo	Gampsonyx	Pandion	Sagittarius	Cathartes	Sarcoramphus	Arenaria	Jacana	Rostratula	Pedionomus	Thinocorus	Dromas	Larus	Turnix	Burhinus	Charadrius	Phegornis	Haematopus	Anhinga	Phalacrocorax	Morus	Fregata	Ardea	Cochlearius	Eudocimus	Balaeniceps	Scopus	Pelecanus	Ciconia	Diomedea	Oceanodroma	Pelecanoides	Puffinus	Oceanites	Eudyptula	Gavia	Corythaeola	Tauraco	Aramus	Grus	Psophia	Heliornis	Sarothrura	Himantornis	Rallus	Centropus	Coua	Coccyzus	Phaenicophaeus	Cuculus	Crotophaga	Geococcyx	Choriotis	Eupodotis	Opisthocomus	Aegotheles	Aerodramus	Streptoprocne	Hemiprocne	Colibri	Phaethornis	Caprimulgus	Eurostopodus	Batrachostomus	Podargus	Nyctibius-br	Nyctibius-gr	Steatornis	Eurypyga	Rhynochetos	Columba	Geotrygon	Treron	Columbina	Otidiphaps	Mesitornis	Monias	Pterocles	Syrrhaptes	Phaethon-le	Phaethon-ru	Phoenicopterus	Podiceps	Alectura	Megapodius	Colinus	Coturnix	Gallus	Rollulus	Numida	Crax	Anas	Aythya	Biziura	Anser	Malacorhynchus	Oxyura	Anseranas	Chauna	Apteryx	Casuarius	Dromaius	Crypturellus	Tinamus	Eudromia	Nothoprocta	Rhea	Struthio
Cariama	0.68515	0.708049	0.225566	0.272635	0.262192	0.261203	0.265739	0.244829	0.24938	0.261907	0.269138	0.246688	0.230752	0.260358	0.241813	0.217544	0.238366	0.237961	0.236824	0.236106	0.237781	0.241883	0.22599	0.260449	0.235349	0.242639	0.194286	0.191568	0.201083	0.201908	0.197696	0.201011	0.183769	0.144983	0.161608	0.130321	0.132732	0	0.243585	0.206975	0.209633	0.184949	0.18433	0.210814	0.224186	0.220669	0.268731	0.277782	0.243828	0.238858	0.190242	0.226765	0.294994	0.295859	0.1935	0.19438	0.15426	0.213102	0.220521	0.143629	0.146391	0.163535	0.140438	0.123649	0.144693	0.129976	0.129596	0.106607	0.105575	0.165384	0.205809	0.201488	0.197486	0.207033	0.144286	0.151512	0.292579	0.134719	0.146861	0.145459	0.136469	0.155023	0.166504	0.142024	0.128796	0.151771	0.147744	0.144043	0.133868	0.155244	0.144457	0.128728	0.118409	0.127961	0.134663	0.126038	0.136556	0.131688	0.131939	0.16193	0.166981	0.162934	0.156436	0.18073	0.241293	0.25846	0.228193	0.227237	0.251309	0.218426	0.24263	0.228376	0.222174	0.212156	0.221968	0.167781	0.169858	0.166347	0.194615	0.209867	0.194427	0.195031	0.238633	0.241327	0.168028	0.164552	0.176789	0.169383	0.150189	0.143358	0.161253	0.198616	0.194103	0.208169	0.207661	0.200887	0.204725	0.189985	0.192216	0.191738	0.183244	0.181067	0.159203	0.158883	0.136438	0.170633	0.298023	0.296909	0.383333	0.375087	0.345033	0.366801	0.319976	0.302085	0.280544	0.27985	0.278869	0.266696	0.287224	0.278602	0.23178	0.232468	0.296874	0.304022	0.308007	0.426176	0.407886	0.437214	0.433302	0.337832	0.311612
Alcedo	0.794789	0.817688	0.340031	0.3871	0.376657	0.375668	0.380204	0.359294	0.363845	0.376372	0.383603	0.361153	0.345217	0.374823	0.356278	0.332009	0.352831	0.352426	0.351289	0.350571	0.352246	0.356348	0.340455	0.374914	0.349814	0.357104	0.308751	0.306033	0.315548	0.316373	0.312161	0.315476	0.298234	0.259448	0.276073	0.244786	0.247197	0.243585	0	0.205284	0.226728	0.23027	0.229651	0.259835	0.297723	0.294206	0.342268	0.351319	0.317365	0.312395	0.271801	0.308324	0.376553	0.377418	0.288033	0.288913	0.251513	0.316741	0.32416	0.247268	0.25003	0.267174	0.244077	0.231066	0.25211	0.237393	0.237013	0.214024	0.212992	0.275023	0.315448	0.311127	0.307125	0.316672	0.253925	0.261151	0.402218	0.244358	0.2565	0.255098	0.246108	0.264662	0.276143	0.251663	0.238435	0.26141	0.257383	0.253682	0.243507	0.264883	0.254096	0.238367	0.228048	0.2376	0.244302	0.235677	0.246195	0.241327	0.241578	0.271569	0.27662	0.272573	0.266075	0.290369	0.350932	0.368099	0.337832	0.336876	0.360948	0.328065	0.352269	0.338015	0.331813	0.321795	0.331607	0.27742	0.279497	0.275986	0.304254	0.319506	0.304066	0.30467	0.348272	0.350966	0.277667	0.274191	0.286428	0.279022	0.259828	0.252997	0.270892	0.308255	0.303742	0.317808	0.3173	0.310526	0.314364	0.299624	0.301855	0.301377	0.292883	0.290706	0.268842	0.268522	0.246077	0.280272	0.407662	0.406548	0.492972	0.484726	0.454672	0.47644	0.429615	0.411724	0.390183	0.389489	0.388508	0.376335	0.396863	0.388241	0.341419	0.342107	0.406513	0.413661	0.417646	0.535815	0.517525	0.546853	0.542941	0.447471	0.421251
Momotus	0.758179	0.781078	0.303421	0.35049	0.340047	0.339058	0.343594	0.322684	0.327235	0.339762	0.346993	0.324543	0.308607	0.338213	0.319668	0.295399	0.316221	0.315816	0.314679	0.313961	0.315636	0.319738	0.303845	0.338304	0.313204	0.320494	0.272141	0.269423	0.278938	0.279763	0.275551	0.278866	0.261624	0.222838	0.239463	0.208176	0.210587	0.206975	0.205284	0	0.190118	0.19366	0.193041	0.223225	0.261113	0.257596	0.305658	0.314709	0.280755	0.275785	0.235191	0.271714	0.339943	0.340808	0.251423	0.252303	0.214903	0.280131	0.28755	0.210658	0.21342	0.230564	0.207467	0.194456	0.2155	0.200783	0.200403	0.177414	0.176382	0.238413	0.278838	0.274517	0.270515	0.280062	0.217315	0.224541	0.365608	0.207748	0.21989	0.218488	0.209498	0.228052	0.239533	0.215053	0.201825	0.2248	0.220773	0.217072	0.206897	0.228273	0.217486	0.201757	0.191438	0.20099	0.207692	0.199067	0.209585	0.204717	0.204968	0.234959	0.24001	0.235963	0.229465	0.253759	0.314322	0.331489	0.301222	0.300266	0.324338	0.291455	0.315659	0.301405	0.295203	0.285185	0.294997	0.24081	0.242887	0.239376	0.267644	0.282896	0.267456	0.26806	0.311662	0.314356	0.241057	0.237581	0.249818	0.242412	0.223218	0.216387	0.234282	0.271645	0.267132	0.281198	0.28069	0.273916	0.277754	0.263014	0.265245	0.264767	0.256273	0.254096	0.232232	0.231912	0.209467	0.243662	0.371052	0.369938	0.456362	0.448116	0.418062	0.43983	0.393005	0.375114	0.353573	0.352879	0.351898	0.339725	0.360253	0.351631	0.304809	0.305497	0.369903	0.377051	0.381036	0.499205	0.480915	0.510243	0.506331	0.410861	0.384641
Todus	0.760837	0.783736	0.306079	0.353148	0.342705	0.341716	0.346252	0.325342	0.329893	0.34242	0.349651	0.327201	0.311265	0.340871	0.322326	0.298057	0.318879	0.318474	0.317337	0.316619	0.318294	0.322396	0.306503	0.340962	0.315862	0.323152	0.274799	0.272081	0.281596	0.282421	0.278209	0.281524	0.264282	0.225496	0.242121	0.210834	0.213245	0.209633	0.226728	0.190118	0	0.196318	0.195699	0.225883	0.263771	0.260254	0.308316	0.317367	0.283413	0.278443	0.237849	0.274372	0.342601	0.343466	0.254081	0.254961	0.217561	0.282789	0.290208	0.213316	0.216078	0.233222	0.210125	0.197114	0.218158	0.203441	0.203061	0.180072	0.17904	0.241071	0.281496	0.277175	0.273173	0.28272	0.219973	0.227199	0.368266	0.210406	0.222548	0.221146	0.212156	0.23071	0.242191	0.217711	0.204483	0.227458	0.223431	0.21973	0.209555	0.230931	0.220144	0.204415	0.194096	0.203648	0.21035	0.201725	0.212243	0.207375	0.207626	0.237617	0.242668	0.238621	0.232123	0.256417	0.31698	0.334147	0.30388	0.302924	0.326996	0.294113	0.318317	0.304063	0.297861	0.287843	0.297655	0.243468	0.245545	0.242034	0.270302	0.285554	0.270114	0.270718	0.31432	0.317014	0.243715	0.240239	0.252476	0.24507	0.225876	0.219045	0.23694	0.274303	0.26979	0.283856	0.283348	0.276574	0.280412	0.265672	0.267903	0.267425	0.258931	0.256754	0.23489	0.23457	0.212125	0.24632	0.37371	0.372596	0.45902	0.450774	0.42072	0.442488	0.395663	0.377772	0.356231	0.355537	0.354556	0.342383	0.362911	0.354289	0.307467	0.308155	0.372561	0.379709	0.383694	0.501863	0.483573	0.512901	0.508989	0.413519	0.387299
Brachypteracias	0.736153	0.759052	0.281395	0.328464	0.318021	0.317032	0.321568	0.300658	0.305209	0.317736	0.324967	0.302517	0.286581	0.316187	0.297642	0.273373	0.294195	0.29379	0.292653	0.291935	0.29361	0.297712	0.281819	0.316278	0.291178	0.298468	0.250115	0.247397	0.256912	0.257737	0.253525	0.25684	0.239598	0.200812	0.217437	0.18615	0.188561	0.184949	0.23027	0.19366	0.196318	0	0.119239	0.201199	0.239087	0.23557	0.283632	0.292683	0.258729	0.253759	0.213165	0.249688	0.317917	0.318782	0.229397	0.230277	0.192877	0.258105	0.265524	0.188632	0.191394	0.208538	0.185441	0.17243	0.193474	0.178757	0.178377	0.155388	0.154356	0.216387	0.256812	0.252491	0.248489	0.258036	0.195289	0.202515	0.343582	0.185722	0.197864	0.196462	0.187472	0.206026	0.217507	0.193027	0.179799	0.202774	0.198747	0.195046	0.184871	0.206247	0.19546	0.179731	0.169412	0.178964	0.185666	0.177041	0.187559	0.182691	0.182942	0.212933	0.217984	0.213937	0.207439	0.231733	0.292296	0.309463	0.279196	0.27824	0.302312	0.269429	0.293633	0.279379	0.273177	0.263159	0.272971	0.218784	0.220861	0.21735	0.245618	0.26087	0.24543	0.246034	0.289636	0.29233	0.219031	0.215555	0.227792	0.220386	0.201192	0.194361	0.212256	0.249619	0.245106	0.259172	0.258664	0.25189	0.255728	0.240988	0.243219	0.242741	0.234247	0.23207	0.210206	0.209886	0.187441	0.221636	0.349026	0.347912	0.434336	0.42609	0.396036	0.417804	0.370979	0.353088	0.331547	0.330853	0.329872	0.317699	0.338227	0.329605	0.282783	0.283471	0.347877	0.355025	0.35901	0.477179	0.458889	0.488217	0.484305	0.388835	0.362615
Coracias	0.735534	0.758433	0.280776	0.327845	0.317402	0.316413	0.320949	0.300039	0.30459	0.317117	0.324348	0.301898	0.285962	0.315568	0.297023	0.272754	0.293576	0.293171	0.292034	0.291316	0.292991	0.297093	0.2812	0.315659	0.290559	0.297849	0.249496	0.246778	0.256293	0.257118	0.252906	0.256221	0.238979	0.200193	0.216818	0.185531	0.187942	0.18433	0.229651	0.193041	0.195699	0.119239	0	0.20058	0.238468	0.234951	0.283013	0.292064	0.25811	0.25314	0.212546	0.249069	0.317298	0.318163	0.228778	0.229658	0.192258	0.257486	0.264905	0.188013	0.190775	0.207919	0.184822	0.171811	0.192855	0.178138	0.177758	0.154769	0.153737	0.215768	0.256193	0.251872	0.24787	0.257417	0.19467	0.201896	0.342963	0.185103	0.197245	0.195843	0.186853	0.205407	0.216888	0.192408	0.17918	0.202155	0.198128	0.194427	0.184252	0.205628	0.194841	0.179112	0.168793	0.178345	0.185047	0.176422	0.18694	0.182072	0.182323	0.212314	0.217365	0.213318	0.20682	0.231114	0.291677	0.308844	0.278577	0.277621	0.301693	0.26881	0.293014	0.27876	0.272558	0.26254	0.272352	0.218165	0.220242	0.216731	0.244999	0.260251	0.244811	0.245415	0.289017	0.291711	0.218412	0.214936	0.227173	0.219767	0.200573	0.193742	0.211637	0.249	0.244487	0.258553	0.258045	0.251271	0.255109	0.240369	0.2426	0.242122	0.233628	0.231451	0.209587	0.209267	0.186822	0.221017	0.348407	0.347293	0.433717	0.425471	0.395417	0.417185	0.37036	0.352469	0.330928	0.330234	0.329253	0.31708	0.337608	0.328986	0.282164	0.282852	0.347258	0.354406	0.358391	0.47656	0.45827	0.487598	0.483686	0.388216	0.361996
Merops	0.762018	0.784917	0.30726	0.354329	0.343886	0.342897	0.347433	0.326523	0.331074	0.343601	0.350832	0.328382	0.312446	0.342052	0.323507	0.299238	0.32006	0.319655	0.318518	0.3178	0.319475	0.323577	0.307684	0.342143	0.317043	0.324333	0.27598	0.273262	0.282777	0.283602	0.27939	0.282705	0.265463	0.226677	0.243302	0.212015	0.214426	0.210814	0.259835	0.223225	0.225883	0.201199	0.20058	0	0.264952	0.261435	0.309497	0.318548	0.284594	0.279624	0.23903	0.275553	0.343782	0.344647	0.255262	0.256142	0.218742	0.28397	0.291389	0.214497	0.217259	0.234403	0.211306	0.198295	0.219339	0.204622	0.204242	0.181253	0.180221	0.242252	0.282677	0.278356	0.274354	0.283901	0.221154	0.22838	0.369447	0.211587	0.223729	0.222327	0.213337	0.231891	0.243372	0.218892	0.205664	0.228639	0.224612	0.220911	0.210736	0.232112	0.221325	0.205596	0.195277	0.204829	0.211531	0.202906	0.213424	0.208556	0.208807	0.238798	0.243849	0.239802	0.233304	0.257598	0.318161	0.335328	0.305061	0.304105	0.328177	0.295294	0.319498	0.305244	0.299042	0.289024	0.298836	0.244649	0.246726	0.243215	0.271483	0.286735	0.271295	0.271899	0.315501	0.318195	0.244896	0.24142	0.253657	0.246251	0.227057	0.220226	0.238121	0.275484	0.270971	0.285037	0.284529	0.277755	0.281593	0.266853	0.269084	0.268606	0.260112	0.257935	0.236071	0.235751	0.213306	0.247501	0.374891	0.373777	0.460201	0.451955	0.421901	0.443669	0.396844	0.378953	0.357412	0.356718	0.355737	0.343564	0.364092	0.35547	0.308648	0.309336	0.373742	0.38089	0.384875	0.503044	0.484754	0.514082	0.51017	0.4147	0.38848
Bucco	0.77539	0.798289	0.320632	0.367701	0.357258	0.356269	0.360805	0.339895	0.344446	0.356973	0.364204	0.341754	0.325818	0.355424	0.336879	0.31261	0.333432	0.333027	0.33189	0.331172	0.332847	0.336949	0.321056	0.355515	0.330415	0.337705	0.289352	0.286634	0.296149	0.296974	0.292762	0.296077	0.278835	0.240049	0.256674	0.225387	0.227798	0.224186	0.297723	0.261113	0.263771	0.239087	0.238468	0.264952	0	0.191187	0.297293	0.306344	0.27239	0.26742	0.252402	0.288925	0.357154	0.358019	0.268634	0.269514	0.232114	0.297342	0.304761	0.227869	0.230631	0.247775	0.224678	0.211667	0.232711	0.217994	0.217614	0.194625	0.193593	0.255624	0.296049	0.291728	0.287726	0.297273	0.234526	0.241752	0.382819	0.224959	0.237101	0.235699	0.226709	0.245263	0.256744	0.232264	0.219036	0.242011	0.237984	0.234283	0.224108	0.245484	0.234697	0.218968	0.208649	0.218201	0.224903	0.216278	0.226796	0.221928	0.222179	0.25217	0.257221	0.253174	0.246676	0.27097	0.331533	0.3487	0.318433	0.317477	0.341549	0.308666	0.33287	0.318616	0.312414	0.302396	0.312208	0.258021	0.260098	0.256587	0.284855	0.300107	0.284667	0.285271	0.328873	0.331567	0.258268	0.254792	0.267029	0.259623	0.240429	0.233598	0.251493	0.288856	0.284343	0.298409	0.297901	0.291127	0.294965	0.280225	0.282456	0.281978	0.273484	0.271307	0.249443	0.249123	0.226678	0.260873	0.388263	0.387149	0.473573	0.465327	0.435273	0.457041	0.410216	0.392325	0.370784	0.37009	0.369109	0.356936	0.377464	0.368842	0.32202	0.322708	0.387114	0.394262	0.398247	0.516416	0.498126	0.527454	0.523542	0.428072	0.401852
Galbula	0.771873	0.794772	0.317115	0.364184	0.353741	0.352752	0.357288	0.336378	0.340929	0.353456	0.360687	0.338237	0.322301	0.351907	0.333362	0.309093	0.329915	0.32951	0.328373	0.327655	0.32933	0.333432	0.317539	0.351998	0.326898	0.334188	0.285835	0.283117	0.292632	0.293457	0.289245	0.29256	0.275318	0.236532	0.253157	0.22187	0.224281	0.220669	0.294206	0.257596	0.260254	0.23557	0.234951	0.261435	0.191187	0	0.293776	0.302827	0.268873	0.263903	0.248885	0.285408	0.353637	0.354502	0.265117	0.265997	0.228597	0.293825	0.301244	0.224352	0.227114	0.244258	0.221161	0.20815	0.229194	0.214477	0.214097	0.191108	0.190076	0.252107	0.292532	0.288211	0.284209	0.293756	0.231009	0.238235	0.379302	0.221442	0.233584	0.232182	0.223192	0.241746	0.253227	0.228747	0.215519	0.238494	0.234467	0.230766	0.220591	0.241967	0.23118	0.215451	0.205132	0.214684	0.221386	0.212761	0.223279	0.218411	0.218662	0.248653	0.253704	0.249657	0.243159	0.267453	0.328016	0.345183	0.314916	0.31396	0.338032	0.305149	0.329353	0.315099	0.308897	0.298879	0.308691	0.254504	0.256581	0.25307	0.281338	0.29659	0.28115	0.281754	0.325356	0.32805	0.254751	0.251275	0.263512	0.256106	0.236912	0.230081	0.247976	0.285339	0.280826	0.294892	0.294384	0.28761	0.291448	0.276708	0.278939	0.278461	0.269967	0.26779	0.245926	0.245606	0.223161	0.257356	0.384746	0.383632	0.470056	0.46181	0.431756	0.453524	0.406699	0.388808	0.367267	0.366573	0.365592	0.353419	0.373947	0.365325	0.318503	0.319191	0.383597	0.390745	0.39473	0.512899	0.494609	0.523937	0.520025	0.424555	0.398335
Capito	0.819935	0.842834	0.365177	0.412246	0.401803	0.400814	0.40535	0.38444	0.388991	0.401518	0.408749	0.386299	0.370363	0.399969	0.381424	0.357155	0.377977	0.377572	0.376435	0.375717	0.377392	0.381494	0.365601	0.40006	0.37496	0.38225	0.333897	0.331179	0.340694	0.341519	0.337307	0.340622	0.32338	0.284594	0.301219	0.269932	0.272343	0.268731	0.342268	0.305658	0.308316	0.283632	0.283013	0.309497	0.297293	0.293776	0	0.132199	0.156083	0.151113	0.296947	0.33347	0.401699	0.402564	0.313179	0.314059	0.276659	0.341887	0.349306	0.272414	0.275176	0.29232	0.269223	0.256212	0.277256	0.262539	0.262159	0.23917	0.238138	0.300169	0.340594	0.336273	0.332271	0.341818	0.279071	0.286297	0.427364	0.269504	0.281646	0.280244	0.271254	0.289808	0.301289	0.276809	0.263581	0.286556	0.282529	0.278828	0.268653	0.290029	0.279242	0.263513	0.253194	0.262746	0.269448	0.260823	0.271341	0.266473	0.266724	0.296715	0.301766	0.297719	0.291221	0.315515	0.376078	0.393245	0.362978	0.362022	0.386094	0.353211	0.377415	0.363161	0.356959	0.346941	0.356753	0.302566	0.304643	0.301132	0.3294	0.344652	0.329212	0.329816	0.373418	0.376112	0.302813	0.299337	0.311574	0.304168	0.284974	0.278143	0.296038	0.333401	0.328888	0.342954	0.342446	0.335672	0.33951	0.32477	0.327001	0.326523	0.318029	0.315852	0.293988	0.293668	0.271223	0.305418	0.432808	0.431694	0.518118	0.509872	0.479818	0.501586	0.454761	0.43687	0.415329	0.414635	0.413654	0.401481	0.422009	0.413387	0.366565	0.367253	0.431659	0.438807	0.442792	0.560961	0.542671	0.571999	0.568087	0.472617	0.446397
Megalaima	0.828986	0.851885	0.374228	0.421297	0.410854	0.409865	0.414401	0.393491	0.398042	0.410569	0.4178	0.39535	0.379414	0.40902	0.390475	0.366206	0.387028	0.386623	0.385486	0.384768	0.386443	0.390545	0.374652	0.409111	0.384011	0.391301	0.342948	0.34023	0.349745	0.35057	0.346358	0.349673	0.332431	0.293645	0.31027	0.278983	0.281394	0.277782	0.351319	0.314709	0.317367	0.292683	0.292064	0.318548	0.306344	0.302827	0.132199	0	0.165134	0.160164	0.305998	0.342521	0.41075	0.411615	0.32223	0.32311	0.28571	0.350938	0.358357	0.281465	0.284227	0.301371	0.278274	0.265263	0.286307	0.27159	0.27121	0.248221	0.247189	0.30922	0.349645	0.345324	0.341322	0.350869	0.288122	0.295348	0.436415	0.278555	0.290697	0.289295	0.280305	0.298859	0.31034	0.28586	0.272632	0.295607	0.29158	0.287879	0.277704	0.29908	0.288293	0.272564	0.262245	0.271797	0.278499	0.269874	0.280392	0.275524	0.275775	0.305766	0.310817	0.30677	0.300272	0.324566	0.385129	0.402296	0.372029	0.371073	0.395145	0.362262	0.386466	0.372212	0.36601	0.355992	0.365804	0.311617	0.313694	0.310183	0.338451	0.353703	0.338263	0.338867	0.382469	0.385163	0.311864	0.308388	0.320625	0.313219	0.294025	0.287194	0.305089	0.342452	0.337939	0.352005	0.351497	0.344723	0.348561	0.333821	0.336052	0.335574	0.32708	0.324903	0.303039	0.302719	0.280274	0.314469	0.441859	0.440745	0.527169	0.518923	0.488869	0.510637	0.463812	0.445921	0.42438	0.423686	0.422705	0.410532	0.43106	0.422438	0.375616	0.376304	0.44071	0.447858	0.451843	0.570012	0.551722	0.58105	0.577138	0.481668	0.455448
Dryocopus	0.795032	0.817931	0.340274	0.387343	0.3769	0.375911	0.380447	0.359537	0.364088	0.376615	0.383846	0.361396	0.34546	0.375066	0.356521	0.332252	0.353074	0.352669	0.351532	0.350814	0.352489	0.356591	0.340698	0.375157	0.350057	0.357347	0.308994	0.306276	0.315791	0.316616	0.312404	0.315719	0.298477	0.259691	0.276316	0.245029	0.24744	0.243828	0.317365	0.280755	0.283413	0.258729	0.25811	0.284594	0.27239	0.268873	0.156083	0.165134	0	0.08658	0.272044	0.308567	0.376796	0.377661	0.288276	0.289156	0.251756	0.316984	0.324403	0.247511	0.250273	0.267417	0.24432	0.231309	0.252353	0.237636	0.237256	0.214267	0.213235	0.275266	0.315691	0.31137	0.307368	0.316915	0.254168	0.261394	0.402461	0.244601	0.256743	0.255341	0.246351	0.264905	0.276386	0.251906	0.238678	0.261653	0.257626	0.253925	0.24375	0.265126	0.254339	0.23861	0.228291	0.237843	0.244545	0.23592	0.246438	0.24157	0.241821	0.271812	0.276863	0.272816	0.266318	0.290612	0.351175	0.368342	0.338075	0.337119	0.361191	0.328308	0.352512	0.338258	0.332056	0.322038	0.33185	0.277663	0.27974	0.276229	0.304497	0.319749	0.304309	0.304913	0.348515	0.351209	0.27791	0.274434	0.286671	0.279265	0.260071	0.25324	0.271135	0.308498	0.303985	0.318051	0.317543	0.310769	0.314607	0.299867	0.302098	0.30162	0.293126	0.290949	0.269085	0.268765	0.24632	0.280515	0.407905	0.406791	0.493215	0.484969	0.454915	0.476683	0.429858	0.411967	0.390426	0.389732	0.388751	0.376578	0.397106	0.388484	0.341662	0.34235	0.406756	0.413904	0.417889	0.536058	0.517768	0.547096	0.543184	0.447714	0.421494
Indicator	0.790062	0.812961	0.335304	0.382373	0.37193	0.370941	0.375477	0.354567	0.359118	0.371645	0.378876	0.356426	0.34049	0.370096	0.351551	0.327282	0.348104	0.347699	0.346562	0.345844	0.347519	0.351621	0.335728	0.370187	0.345087	0.352377	0.304024	0.301306	0.310821	0.311646	0.307434	0.310749	0.293507	0.254721	0.271346	0.240059	0.24247	0.238858	0.312395	0.275785	0.278443	0.253759	0.25314	0.279624	0.26742	0.263903	0.151113	0.160164	0.08658	0	0.267074	0.303597	0.371826	0.372691	0.283306	0.284186	0.246786	0.312014	0.319433	0.242541	0.245303	0.262447	0.23935	0.226339	0.247383	0.232666	0.232286	0.209297	0.208265	0.270296	0.310721	0.3064	0.302398	0.311945	0.249198	0.256424	0.397491	0.239631	0.251773	0.250371	0.241381	0.259935	0.271416	0.246936	0.233708	0.256683	0.252656	0.248955	0.23878	0.260156	0.249369	0.23364	0.223321	0.232873	0.239575	0.23095	0.241468	0.2366	0.236851	0.266842	0.271893	0.267846	0.261348	0.285642	0.346205	0.363372	0.333105	0.332149	0.356221	0.323338	0.347542	0.333288	0.327086	0.317068	0.32688	0.272693	0.27477	0.271259	0.299527	0.314779	0.299339	0.299943	0.343545	0.346239	0.27294	0.269464	0.281701	0.274295	0.255101	0.24827	0.266165	0.303528	0.299015	0.313081	0.312573	0.305799	0.309637	0.294897	0.297128	0.29665	0.288156	0.285979	0.264115	0.263795	0.24135	0.275545	0.402935	0.401821	0.488245	0.479999	0.449945	0.471713	0.424888	0.406997	0.385456	0.384762	0.383781	0.371608	0.392136	0.383514	0.336692	0.33738	0.401786	0.408934	0.412919	0.531088	0.512798	0.542126	0.538214	0.442744	0.416524
Bucorvus	0.741446	0.764345	0.286688	0.333757	0.323314	0.322325	0.326861	0.305951	0.310502	0.323029	0.33026	0.30781	0.291874	0.32148	0.302935	0.278666	0.299488	0.299083	0.297946	0.297228	0.298903	0.303005	0.287112	0.321571	0.296471	0.303761	0.255408	0.25269	0.262205	0.26303	0.258818	0.262133	0.244891	0.206105	0.22273	0.191443	0.193854	0.190242	0.271801	0.235191	0.237849	0.213165	0.212546	0.23903	0.252402	0.248885	0.296947	0.305998	0.272044	0.267074	0	0.097527	0.29167	0.292535	0.23469	0.23557	0.19817	0.263398	0.270817	0.193925	0.196687	0.213831	0.190734	0.177723	0.198767	0.18405	0.18367	0.160681	0.159649	0.22168	0.262105	0.257784	0.253782	0.263329	0.200582	0.207808	0.348875	0.191015	0.203157	0.201755	0.192765	0.211319	0.2228	0.19832	0.185092	0.208067	0.20404	0.200339	0.190164	0.21154	0.200753	0.185024	0.174705	0.184257	0.190959	0.182334	0.192852	0.187984	0.188235	0.218226	0.223277	0.21923	0.212732	0.237026	0.297589	0.314756	0.284489	0.283533	0.307605	0.274722	0.298926	0.284672	0.27847	0.268452	0.278264	0.224077	0.226154	0.222643	0.250911	0.266163	0.250723	0.251327	0.294929	0.297623	0.224324	0.220848	0.233085	0.225679	0.206485	0.199654	0.217549	0.254912	0.250399	0.264465	0.263957	0.257183	0.261021	0.246281	0.248512	0.248034	0.23954	0.237363	0.215499	0.215179	0.192734	0.226929	0.354319	0.353205	0.439629	0.431383	0.401329	0.423097	0.376272	0.358381	0.33684	0.336146	0.335165	0.322992	0.34352	0.334898	0.288076	0.288764	0.35317	0.360318	0.364303	0.482472	0.464182	0.49351	0.489598	0.394128	0.367908
Tockus	0.777969	0.800868	0.323211	0.37028	0.359837	0.358848	0.363384	0.342474	0.347025	0.359552	0.366783	0.344333	0.328397	0.358003	0.339458	0.315189	0.336011	0.335606	0.334469	0.333751	0.335426	0.339528	0.323635	0.358094	0.332994	0.340284	0.291931	0.289213	0.298728	0.299553	0.295341	0.298656	0.281414	0.242628	0.259253	0.227966	0.230377	0.226765	0.308324	0.271714	0.274372	0.249688	0.249069	0.275553	0.288925	0.285408	0.33347	0.342521	0.308567	0.303597	0.097527	0	0.328193	0.329058	0.271213	0.272093	0.234693	0.299921	0.30734	0.230448	0.23321	0.250354	0.227257	0.214246	0.23529	0.220573	0.220193	0.197204	0.196172	0.258203	0.298628	0.294307	0.290305	0.299852	0.237105	0.244331	0.385398	0.227538	0.23968	0.238278	0.229288	0.247842	0.259323	0.234843	0.221615	0.24459	0.240563	0.236862	0.226687	0.248063	0.237276	0.221547	0.211228	0.22078	0.227482	0.218857	0.229375	0.224507	0.224758	0.254749	0.2598	0.255753	0.249255	0.273549	0.334112	0.351279	0.321012	0.320056	0.344128	0.311245	0.335449	0.321195	0.314993	0.304975	0.314787	0.2606	0.262677	0.259166	0.287434	0.302686	0.287246	0.28785	0.331452	0.334146	0.260847	0.257371	0.269608	0.262202	0.243008	0.236177	0.254072	0.291435	0.286922	0.300988	0.30048	0.293706	0.297544	0.282804	0.285035	0.284557	0.276063	0.273886	0.252022	0.251702	0.229257	0.263452	0.390842	0.389728	0.476152	0.467906	0.437852	0.45962	0.412795	0.394904	0.373363	0.372669	0.371688	0.359515	0.380043	0.371421	0.324599	0.325287	0.389693	0.396841	0.400826	0.518995	0.500705	0.530033	0.526121	0.430651	0.404431
